Run	Trial	Cond	Vid	Behav
454	249	1	44	1
455	455	2	45	0
456	456	2	46	0
457	47	1	47	0
458	48	1	48	0
459	459	2	49	0
460	255	1	50	0
461	461	2	51	0
462	257	1	52	0
463	258	1	53	0
464	259	1	54	0
465	465	2	55	0
466	466	2	56	0
467	57	1	57	0
468	58	1	58	0
469	59	1	59	0
470	470	2	60	0
471	471	2	61	0
472	472	2	62	0
473	268	1	63	0
474	474	2	64	0
475	65	1	65	0
476	66	1	66	0
477	67	1	67	0
478	273	1	68	0
479	479	2	69	0
480	275	1	70	1
481	481	2	71	0
482	482	2	72	0
483	73	1	73	0
484	279	1	74	0
485	75	1	75	0
486	486	2	76	0
487	282	1	77	0
488	78	1	78	0
489	79	1	79	0
490	285	1	80	0
491	491	2	81	1
492	492	2	82	0
493	83	1	83	1
494	84	1	84	0
495	495	2	85	0
496	291	1	86	1
497	292	1	87	0
498	293	1	88	0
499	89	1	89	1
500	90	1	90	0
501	296	1	91	0
502	297	1	92	0
503	503	2	93	0
504	504	2	94	0
505	505	2	95	0
506	301	1	96	1
507	302	1	97	0
508	303	1	98	0
509	99	1	99	0
510	305	1	100	0
511	306	1	101	0
512	307	1	102	0
513	513	2	103	0
514	309	2	104	0
515	515	2	105	0
516	516	2	106	1
517	517	2	107	1
518	518	2	108	0
519	519	2	109	0
520	315	2	110	0
521	521	2	111	1
522	522	2	112	0
523	318	2	113	0
524	319	2	114	0
525	320	2	115	0
526	116	1	116	1
527	322	2	117	0
528	118	1	118	0
529	119	1	119	0
530	120	1	120	0
531	121	1	121	0
532	532	2	122	0
533	533	2	123	0
534	534	2	124	0
535	330	2	125	0
536	536	2	126	0
537	537	2	127	0
538	128	1	128	0
539	334	2	129	1
540	335	2	130	0
541	541	2	131	1
542	337	2	132	0
543	338	2	133	0
544	134	1	134	0
545	135	1	135	0
546	341	2	136	0
547	342	2	137	1
548	548	2	138	0
549	344	2	139	0
550	140	1	140	0
551	141	1	141	1
552	347	2	142	0
553	348	2	143	0
554	349	2	144	0
555	350	2	145	0
556	556	2	146	0
557	352	2	147	0
558	558	2	148	0
559	149	1	149	0
560	355	2	150	0
561	356	2	151	0
562	152	1	152	0
563	153	1	153	0
564	154	1	154	1
565	360	2	155	0
566	566	2	156	0
567	567	2	157	0
568	568	2	158	0
569	159	1	159	0
570	570	2	160	0
571	571	2	161	0
572	162	1	162	0
573	573	2	163	0
574	164	1	164	0
575	370	2	165	0
576	576	2	166	1
577	577	2	167	0
578	578	2	168	0
579	579	2	169	1
580	375	2	170	0
581	376	2	171	0
582	377	2	172	0
583	583	2	173	1
584	174	1	174	0
585	585	2	175	0
586	176	1	176	0
587	587	2	177	0
588	178	1	178	0
589	589	2	179	0
590	385	2	180	0
591	591	2	181	0
592	182	1	182	1
593	183	1	183	0
594	184	1	184	0
595	185	1	185	1
596	596	2	186	0
597	392	2	187	1
598	188	1	188	0
599	394	2	189	0
600	395	2	190	0
